PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
27494.00,3122.00,3296.00,2227.00,UA,19977,United Air Lines Inc.,0A875,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1
27600.00,13890.00,0.00,259.00,DL,19790,Delta Air Lines Inc.,01260,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
27614.00,2281.00,0.00,733.00,AA,19805,American Airlines Inc.,0A050,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1
27640.00,12894.00,17961.00,200.00,UA,19977,United Air Lines Inc.,0A875,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,1
27665.00,32849.00,0.00,432.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,1
27687.00,23279.00,3353.00,432.00,DL,19790,Delta Air Lines Inc.,01260,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
27689.00,525922.00,127768.00,2419.00,UA,19977,United Air Lines Inc.,0A875,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1
27744.00,21656.00,69101.00,1464.00,AA,19805,American Airlines Inc.,0A050,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
27766.00,9477.00,0.00,481.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,1
27869.00,21128.00,4041.00,449.00,AA,19805,American Airlines Inc.,0A050,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1
27935.00,2931.00,0.00,950.00,DL,19790,Delta Air Lines Inc.,01260,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1
27956.00,36507.00,151626.00,1535.00,DL,19790,Delta Air Lines Inc.,01260,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1
